,Location ,Lat,Lon
0,Shelton WA,47.2150945,-123.10070659999998
1,Aloha OR,45.4942838,-122.86704540000001
2,Wichita KS,37.68717609999999,-97.330053
3,San Francisco CA,37.7749295,-122.4194155
4,Evans CO,40.3763701,-104.69218740000001
5,Guthrie OK,35.878937,-97.4253185
6,Chandler AZ,33.3061605,-111.8412502
7,Assaria KS,38.6802826,-97.6044806
8,Burlington IA,40.8076529,-91.1128901
9,Knoxville PA,41.957293299999996,-77.43887190000001
10,Stockton CA,37.9577016,-121.29077959999998
11,Freeport TX,28.9541368,-95.3596617
12,Columbus OH,39.9611755,-82.99879419999998
13,Des Moines IA,41.600544799999994,-93.6091064
14,New Orleans LA,29.95106579999999,-90.0715323
15,Huntley MT,45.899401,-108.30151740000001
16,Salt Lake City UT,40.760779299999996,-111.89104740000002
17,Strong AR,33.1073435,-92.3566861
18,Syracuse UT,41.0893878,-112.0646657
19,England AR,34.5442609,-91.96902840000001
20,El Paso TX,31.7618778,-106.48502169999999
21,Arcola IL,39.684754999999996,-88.30643669999998
22,South Gate CA,33.954737,-118.21201609999999
23,North Las Vegas NV,36.1988592,-115.1175013
24,Albuquerque NM,35.0843859,-106.65042199999999
25,Jourdanton TX,28.918029399999998,-98.5464068
26,St. Paul MN,44.953702899999996,-93.0899578
27,Franklin County MO,38.395360100000005,-91.135302
28,Chesapeake VA,36.7682088,-76.2874927
29,Old Bridge NJ,40.4128551,-74.307282
30,Lake Jackson TX,29.0338575,-95.43438590000001
31,Draper UT,40.5246711,-111.8638226
32,Indianapolis IN,39.768403,-86.158068
33,Aurora CO,39.729431899999994,-104.8319195
34,Bloomington MN,44.840798,-93.29827990000001
35,Fairfield CA,38.24935809999999,-122.03996629999999
36,Evangeline Parish LA,30.782178100000003,-92.3813621
37,Mabank TX,32.3665322,-96.1008056
38,Fremont CA,37.548269700000006,-121.98857190000001
39,Muskogee OK,35.747876899999994,-95.36969090000001
40,Los Angeles CA,34.0522342,-118.24368490000002
41,Fort Worth TX,32.7554883,-97.3307658
42,Maricopa AZ,33.058106300000006,-112.04764229999999
43,Gunlock KY,37.547596999999996,-82.9259979
44,Weymouth MA,42.2180724,-70.94103559999998
45,Scottsdale AZ,33.494170399999994,-111.9260519
46,Hemet CA,33.7475203,-116.97196840000001
47,Chapeno TX,26.534403,-99.15499100000001
48,St. Louis MO,38.6270025,-90.1994042
49,Derry NH,42.8806437,-71.32733459999999
50,Sierra Blanca TX,31.1745732,-105.3571764
51,Longview TX,32.5007037,-94.7404891
52,Austin TX,30.267153000000004,-97.7430608
53,Fort Lauderdale FL,26.122438600000002,-80.13731740000001
54,Levelland TX,33.5873164,-102.37796
55,Rexburg ID,43.8231096,-111.7924237
56,Baltimore MD,39.2903848,-76.6121893
57,Pueblo CO,38.2544472,-104.60914090000001
58,Winslow NJ,39.6573556,-74.8623203
59,Denver CO,39.739235799999996,-104.990251
60,New Hope MN,45.0380201,-93.38661850000001
61,Tahoka TX,33.166760100000005,-101.79376690000001
62,Wasco CA,35.5941238,-119.34094569999999
63,Phoenix AZ,33.4483771,-112.07403729999999
64,Morenci AZ,33.0508859,-109.3280282
65,Omaha NE,41.2565369,-95.93450340000001
66,Sunset TX,33.4520535,-97.7666999
67,Rosenberg TX,29.5571825,-95.8085623
68,Stillwater OK,36.1156071,-97.0583681
69,Wyoming MI,42.9133602,-85.7053085
70,Billings MT,45.783285600000006,-108.50069040000001
71,Houston TX,29.7604267,-95.36980279999999
72,Randallstown MD,39.3673278,-76.79525249999998
73,Bay City MI,43.5944677,-83.8888647
74,Hummelstown PA,40.2653681,-76.7083033
75,Apple Valley CA,34.5008311,-117.18587590000001
76,Emeryville CA,37.831315999999994,-122.2852473
77,Antioch CA,38.0049214,-121.80578899999999
78,Douglas GA,31.508807300000004,-82.84986540000001
79,Tallahassee FL,30.4382559,-84.28073289999998
80,Orlando FL,28.5383355,-81.3792365
81,Tempe AZ,33.4255104,-111.9400054
82,Lorena TX,31.3865592,-97.2155596
83,Memphis TN,35.1495343,-90.0489801
84,Chino CA,34.0122346,-117.68894399999999
85,Oklahoma City OK,35.4675602,-97.5164276
86,Calimesa CA,34.0039039,-117.06197549999999
87,Gastonia NC,35.262082,-81.18730049999998
88,Anchorage AK,61.2180556,-149.90027780000003
89,New City NY,41.1475954,-73.989306
90,Orange County FL,28.4844995,-81.2518833
91,Nocona TX,33.7867684,-97.7258626
92,Smyrna ME,46.1644547,-68.1203515
93,Dallas TX,32.7766642,-96.7969879
94,Pasco WA,46.2305049,-119.09223159999999
95,Whitehaven TN,35.0277933,-90.04665589999998
96,New Castle CO,39.5727585,-107.5364443
97,San Jose CA,37.338208200000004,-121.88632859999998
98,Dadeville AL,32.831238,-85.76356919999998
99,San Bernardino CA,34.1083449,-117.2897652
100,Kansas City KS,39.114053000000006,-94.6274636
101,Reading PA,40.335648299999995,-75.9268747
102,McLemoresville TN,35.987286,-88.5745001
103,San Manuel AZ,32.5997933,-110.63092890000001
104,Essex MD,39.30927430000001,-76.47496199999998
105,Laredo TX,27.530567100000003,-99.4803241
106,Miami Gardens FL,25.942037699999997,-80.2456045
107,Iuka MS,34.8117565,-88.19004149999998
108,Colton OR,45.172119200000004,-122.4374803
109,Marana AZ,32.436381,-111.2224422
110,Boise ID,43.6150186,-116.2023137
111,Provo UT,40.233843799999995,-111.6585337
112,Gaston County NC,35.289565100000004,-81.20781640000001
113,Springfield MO,37.20895720000001,-93.2922989
114,Eaton Rapids Township MI,42.5681472,-84.75244819999998
115,Tewksbury MA,42.610647799999995,-71.23422479999998
116,Del Rio TX,29.370885700000002,-100.89586740000001
117,Charlotte NC,35.2270869,-80.8431267
118,Euless TX,32.8370727,-97.0819541
119,Homewood AL,33.4717732,-86.80082279999998
120,Birmingham AL,33.5206608,-86.80248999999998
121,Ruidoso NM,33.3672525,-105.6588485
122,Palm Bay FL,28.034462100000006,-80.5886646
123,Allentown PA,40.6022939,-75.4714098
124,Denham Springs LA,30.48685639999999,-90.9562125
125,Powder Springs GA,33.8595491,-84.683824
126,Clarkesville GA,34.6125971,-83.5248933
127,Millbrook AL,32.4798575,-86.36191629999998
128,Green Bay WI,44.51331879999999,-88.0132958
129,Las Vegas NV,36.169941200000004,-115.13982959999998
130,Terre Haute IN,39.4667034,-87.41390919999998
131,Lakeland FL,28.039465399999997,-81.9498042
132,Gulfport MS,30.367419800000004,-89.0928155
133,Sylvester GA,31.5307349,-83.8354542
134,Santa Ana CA,33.7454725,-117.867653
135,Pelzer SC,34.6423372,-82.4559598
136,Roxand Township MI,42.729993,-84.87763919999998
137,St Louis MO,38.6270025,-90.1994042
138,Tucson AZ,32.2226066,-110.9747108
139,Columbia MO,38.95170529999999,-92.33407240000001
140,Tarboro NC,35.896823600000005,-77.53580490000002
141,La Paz County AZ,34.0061091,-113.9536466
142,Barton MS,34.9639824,-89.68925019999998
143,Joilet IL,41.525031,-88.0817251
144,Salisbury MD,38.360673600000005,-75.5993692
145,Deltona FL,28.9005446,-81.26367379999998
146,Milwaukee WI,43.0389025,-87.9064736
147,Burbank CA,34.18083920000001,-118.30896609999998
148,Lincoln NE,40.813615999999996,-96.7025955
149,Putnam Hall FL,29.73663329999999,-81.95926349999998
150,Madison WI,43.07305170000001,-89.4012302
151,Claymont DE,39.8006685,-75.45964040000001
152,Anaheim CA,33.8365932,-117.91430120000001
153,Brevard NC,35.2334472,-82.73429190000002
154,Dinosaur CO,40.243578,-109.01456129999998
155,Cocoa FL,28.3861159,-80.7419984
156,Atlanta GA,33.7489954,-84.3879824
157,Baton Rouge LA,30.451467699999995,-91.1871466
158,Port Wentworth GA,32.149091999999996,-81.163168
159,Ontario CA,34.0633443,-117.65088759999999
160,Cleveland OH,41.499320000000004,-81.6943605
