Location ,Lat,Lon
Soddy-Daisy TN,35.2359025,-85.1907904
Twentynine Palms CA,34.1355582,-116.0541689
Salinas CA,36.6777372,-121.6555013
Watts OK,36.10924869999999,-94.5702202
Dallas TX,32.7766642,-96.79698789999999
Los Angeles CA,34.0522342,-118.2436849
Gary IN,41.5933696,-87.3464271
Grand Forks ND,47.9252568,-97.0328547
Florissant MO,38.789217,-90.322614
Woodford VA,38.113349,-77.4092467
Fritch TX,35.6397655,-101.603228
Gainesville FL,29.6516344,-82.32482619999999
Greenville MS,33.399661,-91.0377029
Jean NV,35.778868,-115.3238828
Waldoboro ME,44.0952725,-69.37560169999999
Pittsburgh PA,40.44062479999999,-79.9958864
Carson CA,33.8316745,-118.281693
Vallejo CA,38.1040864,-122.2566367
Brooklet GA,32.37962940000001,-81.6631659
Springfield IL,39.78172130000001,-89.6501481
Wilmington DE,39.7390721,-75.5397878
Kenner LA,29.9940924,-90.2417434
Atascadero CA,35.4894169,-120.6707255
Sugar Creek MO,39.1097268,-94.4446742
New Orleans LA,29.95106579999999,-90.0715323
Bakersfield CA,35.3732921,-119.0187125
Las Cruces NM,32.3199396,-106.7636538
Algoma Township MI,43.1492928,-85.62292959999999
Lancaster City PA,40.0378755,-76.3055144
Kuna ID,43.4918307,-116.4201223
Oxford AL,33.6142714,-85.8349648
Southaven MS,34.9918587,-90.0022958
Millston WI,44.1930179,-90.6476354
Charlotte NC,35.2270869,-80.8431267
Overlea MD,39.3634405,-76.5205199
Atlanta GA,33.7489954,-84.3879824
Madison Township OH,39.8248372,-82.8855961
Alhambra CA,34.095287,-118.1270146
Eau Claire WI,44.811349,-91.4984941
Apache Junction AZ,33.4150485,-111.5495777
Fort Stockton TX,30.8940431,-102.8793222
Des Moines WA,47.4017661,-122.3242901
Oakdale CT,41.4832665,-72.15938419999999
Santa Ana CA,33.7454725,-117.867653
Kiowa OK,34.7206515,-95.89915859999999
Lynnwood WA,47.8209301,-122.3151314
Fresno CA,36.7377981,-119.7871247
Modesto CA,37.63909719999999,-120.9968782
Hollywood CA,34.0928092,-118.3286614
Arlington TX,32.735687,-97.10806559999999
Highland CA,34.1283442,-117.2086513
Wichita Falls TX,33.9137085,-98.4933873
Geneva WI,42.6386048,-88.4597673
Orange Park FL,30.1660736,-81.706484
Olympic Valley CA,39.1969804,-120.2357055
Panhandle TX,35.3456038,-101.3804447
Hickory NC,35.7344538,-81.3444573
Rowland NC,34.5365518,-79.2914306
Grafton WV,39.3409249,-80.0189659
Forest Park IL,41.8794758,-87.81367
Irving TX,32.8140177,-96.9488945
Moultrie GA,31.1799407,-83.7888387
Kansas City MO,39.0997265,-94.5785667
DeLand FL,29.028318,-81.3031179
Fremont CA,37.5482697,-121.9885719
Englewood OH,39.8775553,-84.3021672
Pueblo CO,38.2544472,-104.6091409
Jacksonville FL,30.3321838,-81.65565099999999
Commerce City CO,39.8083196,-104.9338675
Santa Monica CA,34.0194543,-118.4911912
Jackson County AL,34.7090388,-86.0121573
Mt. Pleasant TN,35.5342414,-87.20695409999999
Baltimore MD,39.2903848,-76.6121893
Howland Township OH,41.2576207,-80.7325287
Richmond KY,37.7478572,-84.2946539
Brookville IN,39.4231065,-85.0127376
Anadarko OK,35.072562,-98.2436625
